ID_Cliente,Nome,Email,Telefone,Data_Nascimento,Cidade,Estado,Plano_Contratado,Servico_Adicional,Data_Contratacao,Data_Vencimento_Fatura,Valor_Fatura_Mensal,Valor_em_Aberto,Status_Pagamento,Data_Ingestao,Data_Atualizacao
3f04aff0-8493-426b-8679-1ac39ab567dc,Bárbara das Neves,bárbara.neves@ig.com.br,+55 (071) 4222 7424,1974-09-17,Brasília,DF,Plano Ouro,Armazenamento Extra,2024-09-14,2025-07-18,149.9,0.0,Em dia,2024-09-14,2025-07-29 17:28:55
fb675267-e993-4baa-a30b-08471b71a6fa,Ana Carolina Marques,ana.marques@yahoo.com.br,+55 21 5676-3318,1981-07-06,São José dos Pinhais,PR,Plano Platina,Suporte Premium,2024-07-14,2025-07-14,249.8,0.0,Em dia,2024-07-14,2025-07-29 08:32:44
c74f8376-bc9b-4f45-b26a-9b296c86a27f,Breno da Cruz,breno.cruz@hotmail.com,31 3309 6065,1966-11-16,São Gonçalo,RJ,Plano Platina,Suporte Premium,2023-10-08,2025-05-06,249.8,499.6,Inadimplente,2023-10-08,2025-07-28 22:29:39
966451eb-c12c-44ab-9b89-031be3c6a558,Isadora Moreira,isadora.moreira@uol.com.br,+55 (041) 7822 4791,1956-11-23,Vitória da Conquista,BA,Plano Ouro,Suporte Premium,2021-05-09,2025-07-14,149.8,0.0,Em dia,2021-05-09,2025-07-29 11:43:22
03f15716-f65a-4f22-a4df-d999d926a870,João Pedro da Conceição,joão.conceição@hotmail.com,(041) 6893-9473,1957-02-12,Guarulhos,SP,Plano Ouro,Nenhum,2024-12-07,2025-07-06,129.9,0.0,Em dia,2024-12-07,2025-07-29 15:09:39
f3aa9e5a-1d44-4561-92ed-cdc337a2d3f0,Caio Fogaça,caio.fogaça@hotmail.com,31 5283-5480,1962-06-05,Feira de Santana,BA,Plano Prata,Armazenamento Extra,2023-01-19,2025-07-16,99.9,0.0,Em dia,2023-01-19,2025-07-29 12:48:40
30770963-7ae6-431b-afc8-56ba92611f1c,Vitor Macedo,vitor.macedo@yahoo.com.br,61 2267 7101,1986-05-01,Brasília,DF,Plano Platina,Nenhum,2021-09-16,2025-05-19,229.9,459.8,Inadimplente,2021-09-16,2025-07-29 13:07:10
2952d31b-7ad8-4808-b336-63ba11542272,Lavínia Macedo,lavínia.macedo@bol.com.br,0900-198-5377,1987-10-11,Vitória da Conquista,BA,Plano Platina,Suporte Premium,2024-08-06,2025-07-10,249.8,0.0,Em dia,2024-08-06,2025-07-27 11:06:48
f0b7cd87-aae4-4090-89dd-6a0f9a31630c,Ravy Freitas,ravy.freitas@hotmail.com,(021) 6097 5470,1987-03-03,Olinda,PE,Plano Platina,Armazenamento Extra,2022-11-29,2025-07-14,249.9,0.0,Em dia,2022-11-29,2025-07-28 16:29:41
9e88e385-1fdc-4b99-b3a2-ca211f743397,Stephany da Costa,stephany.costa@ig.com.br,+55 (051) 3505-8278,1991-01-12,São Paulo,SP,Plano Platina,Suporte Premium,2024-12-03,2025-07-08,249.8,0.0,Em dia,2024-12-03,2025-07-28 06:32:51
