ID_Cliente,Nome,Email,Telefone,Data_Nascimento,Cidade,Estado,Plano_Contratado,Servico_Adicional,Data_Contratacao,Data_Vencimento_Fatura,Valor_Fatura_Mensal,Valor_em_Aberto,Status_Pagamento,Data_Ingestao,Data_Atualizacao
69230c16-93ce-4a04-8d6c-cf2a82cc526e,Ana Laura Brito,ana.brito@gmail.com,+55 (084) 1601 7049,1949-02-07,Ceilândia,DF,Plano Platina,Suporte Premium,2020-11-20,2025-06-11,249.8,499.6,Inadimplente,2020-11-20,2025-07-30 12:37:41
7aea3e9a-5e35-46f0-8cf4-3dd32b9f81fc,Antony Mendonça,antony.mendonça@ig.com.br,41 4800 4650,1994-02-26,Ponta Grossa,PR,Plano Prata,Nenhum,2024-12-19,2025-03-06,79.9,399.5,Inadimplente,2024-12-19,2025-07-31 06:53:37
ead7c4e0-ff15-46bc-9bf8-03ee654ce45a,Lunna Abreu,lunna.abreu@yahoo.com.br,(081) 6239 7074,1960-02-18,Santa Maria,RS,Plano Ouro,Armazenamento Extra,2023-05-28,2025-08-24,149.9,0.0,Em dia,2023-05-28,2025-07-29 19:51:32
83b49709-2bcf-4da6-a65c-23e288a79164,Levi Araújo,levi.araújo@ig.com.br,51 5932 5344,2006-10-24,Pelotas,RS,Plano Prata,Armazenamento Extra,2019-10-10,2025-04-19,99.9,399.6,Inadimplente,2019-10-10,2025-07-29 13:59:13
47bfe8d1-2dab-4727-b75a-a1bcd139cc52,Alana Cassiano,alana.cassiano@uol.com.br,(031) 8644 1801,1968-05-04,Belo Horizonte,MG,Plano Prata,Armazenamento Extra,2020-12-18,2025-07-08,99.9,99.9,Inadimplente,2020-12-18,2025-07-31 18:45:48
15fa7048-5380-4f8c-870d-59aa3cb36751,Milena Almeida,milena.almeida@hotmail.com,41 4514 3046,1983-11-06,Santa Maria,RS,Plano Platina,Armazenamento Extra,2020-12-16,2025-08-09,249.9,0.0,Em dia,2020-12-16,2025-08-01 09:15:56
89ba78ea-33c9-4cc8-bb87-e4a313fa8ad2,Vicente Pires,vicente.pires@uol.com.br,(051) 2307-0420,1999-08-03,Niterói,RJ,Plano Prata,Suporte Premium,2025-03-11,2025-08-14,99.8,0.0,Em dia,2025-03-11,2025-07-29 05:41:48
9265f59b-872d-4842-895c-cea67aa66b79,André Pinto,andré.pinto@bol.com.br,0500 549 5708,1949-03-06,Belo Horizonte,MG,Plano Prata,Armazenamento Extra,2021-09-25,2025-07-18,99.9,99.9,Inadimplente,2021-09-25,2025-07-29 12:19:33
6fdce466-c80c-4672-a831-8192ed349ce8,Maitê Gomes,maitê.gomes@bol.com.br,+55 (041) 4948-5847,1979-09-16,São Bernardo do Campo,SP,Plano Platina,Armazenamento Extra,2024-11-29,2025-07-11,249.9,249.9,Inadimplente,2024-11-29,2025-07-30 16:10:47
08612c18-a30b-4980-9992-30f1abb9704a,Aylla Fogaça,aylla.fogaça@hotmail.com,+55 (031) 8828 9946,1965-04-22,Campinas,SP,Plano Ouro,Suporte Premium,2023-11-12,2025-08-16,149.8,0.0,Em dia,2023-11-12,2025-07-30 05:21:33
